epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,174.633,2.56876,0.35066,0.71577,2.83092,0.000237557,0.000237557,0.000237557
2,332.698,2.1093,0.42259,0.77441,2.75084,0.000428477,0.000428477,0.000428477
3,495.562,1.9648,0.46129,0.79521,2.72347,0.000572273,0.000572273,0.000572273
4,656.57,1.81874,0.48556,0.82322,2.69269,0.000501942,0.000501942,0.000501942
5,819.282,1.68708,0.51473,0.83651,2.65776,0.000431256,0.000431256,0.000431256
6,977.721,1.58992,0.53033,0.85355,2.65056,0.00036057,0.00036057,0.00036057
7,1136.23,1.49309,0.55459,0.86135,2.62104,0.000289884,0.000289884,0.000289884
8,1299.76,1.42362,0.55893,0.868,2.60938,0.000219198,0.000219198,0.000219198
9,1461.68,1.35963,0.57106,0.86973,2.60212,0.000148512,0.000148512,0.000148512
10,1624.66,1.30937,0.5803,0.87233,2.59648,7.7826e-05,7.7826e-05,7.7826e-05
